Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6605,Nickelodeon Dance,Wii,2011,Misc,Take-Two Interactive,230000.0,10000.0,0.0,20000.0,260000.0
6607,Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,190000.0,60000.0,0.0,10000.0,260000.0
6608,MVP Baseball 2004,GC,2004,Sports,Electronic Arts,200000.0,50000.0,0.0,10000.0,260000.0
6609,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft,180000.0,70000.0,0.0,0.0,250000.0
6610,Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,190000.0,50000.0,0.0,10000.0,250000.0
6614,Imagine: Ballet Star,DS,2008,Simulation,Ubisoft,230000.0,10000.0,0.0,20000.0,250000.0
6616,Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,220000.0,10000.0,0.0,20000.0,250000.0
6623,NASCAR 09,X360,2008,Racing,Electronic Arts,230000.0,0.0,0.0,20000.0,250000.0
6629,Ice Age 2: The Meltdown,GBA,2006,Platform,Vivendi Games,180000.0,70000.0,0.0,0.0,250000.0
6630,The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,Action,Disney Interactive Studios,230000.0,0.0,0.0,20000.0,250000.0
6631,World Series of Poker,XB,2005,Misc,Activision,190000.0,50000.0,0.0,10000.0,250000.0
6636,Happy Feet,GC,2006,Action,Midway Games,200000.0,50000.0,0.0,10000.0,250000.0
6638,Triple Play 2002,XB,2002,Sports,Electronic Arts,190000.0,50000.0,0.0,10000.0,250000.0
6641,Spy Kids Challenger,GBA,2002,Platform,Disney Interactive Studios,180000.0,70000.0,0.0,0.0,250000.0
6644,Exhibition,XB,2001,Misc,Microsoft Game Studios,190000.0,50000.0,0.0,10000.0,250000.0
6646,Tony Hawk's Proving Ground,Wii,2007,Sports,Activision,220000.0,10000.0,0.0,20000.0,250000.0
6647,Amped 2,XB,2003,Sports,Microsoft Game Studios,200000.0,40000.0,0.0,10000.0,250000.0
6651,Cars,X360,2006,Racing,THQ,220000.0,20000.0,0.0,20000.0,250000.0
6653,Kung Fu Panda 2,X360,2011,Action,THQ,160000.0,70000.0,0.0,20000.0,250000.0
6660,NHL 08,X360,2007,Action,Electronic Arts,220000.0,10000.0,0.0,20000.0,250000.0
6664,Men of Valor,XB,2004,Shooter,Vivendi Games,190000.0,50000.0,0.0,10000.0,250000.0
6666,Medal of Honor European Assault,GC,2005,Shooter,Electronic Arts,190000.0,50000.0,0.0,10000.0,250000.0
6667,Spider-Man: Web of Shadows,Wii,2008,Action,Activision,220000.0,10000.0,0.0,20000.0,250000.0
6668,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,190000.0,50000.0,0.0,10000.0,250000.0
6669,Midway's Greatest Arcade Hits,GBA,2001,Misc,Midway Games,180000.0,70000.0,0.0,0.0,250000.0
6673,Spider-Man: Edge of Time,X360,2011,Action,Activision,180000.0,50000.0,0.0,20000.0,250000.0
6676,The Outfit,X360,2006,Action,THQ,210000.0,20000.0,0.0,20000.0,250000.0
6677,Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment,180000.0,70000.0,0.0,0.0,250000.0
6678,NHL 06,XB,2005,Sports,Electronic Arts,190000.0,50000.0,0.0,10000.0,250000.0
6679,Atari Anthology,XB,2004,Misc,Atari,190000.0,50000.0,0.0,10000.0,250000.0
6682,MotoGP '07,X360,2007,Racing,THQ,230000.0,0.0,0.0,20000.0,250000.0
6684,Mortal Kombat: Armageddon,Wii,2007,Fighting,Midway Games,210000.0,20000.0,0.0,20000.0,250000.0
6687,NBA Showtime: NBA on NBC,N64,1999,Sports,Midway Games,230000.0,20000.0,0.0,0.0,250000.0
6688,Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,200000.0,50000.0,0.0,0.0,250000.0
6689,Wheel of Fortune,N64,1997,Misc,Take-Two Interactive,200000.0,50000.0,0.0,0.0,250000.0
6690,MRC: Multi-Racing Championship,N64,1997,Racing,Ocean,200000.0,50000.0,0.0,0.0,250000.0
6692,Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,200000.0,50000.0,0.0,0.0,250000.0
6693,Wayne Gretzky's 3D Hockey '98,N64,1997,Sports,Midway Games,230000.0,20000.0,0.0,0.0,250000.0
6694,NBA Courtside 2 featuring Kobe Bryant,N64,1999,Sports,Nintendo,200000.0,50000.0,0.0,0.0,250000.0
6698,Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,190000.0,50000.0,0.0,10000.0,250000.0
6701,The Sims 2,XB,2005,Simulation,Electronic Arts,190000.0,50000.0,0.0,10000.0,250000.0
6703,Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,150000.0,70000.0,0.0,20000.0,250000.0
6710,Bolt,X360,2008,Adventure,Disney Interactive Studios,180000.0,50000.0,0.0,20000.0,250000.0
6715,Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,200000.0,30000.0,0.0,20000.0,250000.0
6717,Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,200000.0,30000.0,0.0,20000.0,250000.0
6718,Medabots AX: Metabee,GBA,2002,Role-Playing,Natsume,180000.0,70000.0,0.0,0.0,250000.0
6722,X-Men Origins: Wolverine,Wii,2009,Action,Activision,190000.0,40000.0,0.0,20000.0,250000.0
6729,Imagine: Zookeeper,DS,2009,Simulation,Ubisoft,160000.0,60000.0,0.0,20000.0,250000.0
6731,America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,190000.0,50000.0,0.0,10000.0,250000.0
6736,Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts,230000.0,0.0,0.0,20000.0,250000.0
6737,Dood's Big Adventure,Wii,2010,Platform,THQ,220000.0,10000.0,0.0,20000.0,250000.0
6741,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,Midway Games,190000.0,50000.0,0.0,10000.0,250000.0
6754,Nickelodeon Party Blast,GC,2002,Misc,Atari,190000.0,50000.0,0.0,10000.0,250000.0
6758,Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,220000.0,10000.0,0.0,20000.0,250000.0
6759,Butt Ugly Martians: B.K.M. Battles,GBA,2002,Action,Vivendi Games,180000.0,70000.0,0.0,0.0,250000.0
6760,Major League Baseball 2K7,PS3,2007,Sports,Spike,230000.0,0.0,0.0,20000.0,250000.0
6761,X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,Activision,190000.0,50000.0,0.0,10000.0,250000.0
6762,Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,Zoo Digital Publishing,180000.0,70000.0,0.0,0.0,250000.0
6764,Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters,210000.0,10000.0,0.0,20000.0,250000.0
6765,NBA Courtside 2002,GC,2002,Sports,Nintendo,190000.0,50000.0,0.0,10000.0,250000.0
6775,Dynasty Warriors 7,X360,2011,Action,Tecmo Koei,160000.0,70000.0,0.0,20000.0,240000.0
6776,Catz,GBA,2005,Simulation,Ubisoft,180000.0,60000.0,0.0,0.0,240000.0
6778,Transformers: War for Cybertron (DS Version),DS,2010,Shooter,Activision,220000.0,10000.0,0.0,20000.0,240000.0
6783,That's So Raven: Psychic on the Scene,DS,2006,Adventure,Disney Interactive Studios,230000.0,0.0,0.0,20000.0,240000.0
6784,Monster Jam: Path of Destruction,PS3,2010,Racing,Activision,210000.0,20000.0,0.0,20000.0,240000.0
6790,MLB,PSP,2005,Sports,Sony Computer Entertainment,230000.0,0.0,0.0,20000.0,240000.0
6792,Command & Conquer 3: Kane's Wrath,X360,2008,Strategy,Electronic Arts,160000.0,60000.0,0.0,20000.0,240000.0
6793,Dreamcast Collection,X360,2011,Misc,Sega,160000.0,70000.0,0.0,20000.0,240000.0
6794,Madden NFL 13,WiiU,2012,Sports,Electronic Arts,220000.0,0.0,0.0,20000.0,240000.0
6798,Bakugan: Battle Brawlers,X360,2009,Action,Activision,200000.0,20000.0,0.0,20000.0,240000.0
6803,Cabela's Outdoor Adventures (2009),X360,2009,Sports,Activision Value,230000.0,0.0,0.0,20000.0,240000.0
6804,SRS: Street Racing Syndicate,XB,2004,Racing,Namco Bandai Games,180000.0,50000.0,0.0,10000.0,240000.0
6807,The Incredible Hulk,DS,2008,Action,Sega,220000.0,0.0,0.0,20000.0,240000.0
6814,Harvest Moon: Magical Melody,GC,2005,Simulation,Ubisoft,190000.0,50000.0,0.0,10000.0,240000.0
6816,DK: King of Swing,GBA,2005,Platform,Nintendo,170000.0,60000.0,0.0,0.0,240000.0
6821,Corvette,XB,2003,Racing,TDK Mediactive,180000.0,50000.0,0.0,10000.0,240000.0
6823,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,210000.0,10000.0,0.0,20000.0,240000.0
6824,Deca Sports 3,Wii,2010,Sports,Hudson Soft,150000.0,70000.0,0.0,20000.0,240000.0
6825,Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,210000.0,20000.0,0.0,20000.0,240000.0
6826,Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games,210000.0,10000.0,0.0,20000.0,240000.0
6829,Bass Pro Shops: The Hunt,Wii,2010,Sports,XS Games,230000.0,0.0,0.0,20000.0,240000.0
6831,Boogie SuperStar,Wii,2008,Misc,Electronic Arts,200000.0,20000.0,0.0,20000.0,240000.0
6832,Burnout 2: Point of Impact,XB,2003,Racing,Acclaim Entertainment,180000.0,50000.0,0.0,10000.0,240000.0
6833,Rock Band Track Pack Volume 1,Wii,2008,Misc,MTV Games,170000.0,50000.0,0.0,20000.0,240000.0
6837,Kill.Switch,XB,2003,Shooter,Namco Bandai Games,180000.0,50000.0,0.0,10000.0,240000.0
6840,Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,Ubisoft,190000.0,50000.0,0.0,10000.0,240000.0
6842,Dancing With The Stars,Wii,2007,Misc,Activision,220000.0,0.0,0.0,20000.0,240000.0
6845,The Simpsons: Road Rage,GC,2001,Racing,Electronic Arts,190000.0,50000.0,0.0,10000.0,240000.0
6846,Megamind: Mega Team Unite,Wii,2010,Adventure,THQ,160000.0,60000.0,0.0,20000.0,240000.0
6849,Azurik: Rise of Perathia,XB,2001,Action,Microsoft Game Studios,180000.0,50000.0,0.0,10000.0,240000.0
6852,The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,170000.0,50000.0,0.0,20000.0,240000.0
6853,Dragon Ball Z: Sagas,XB,2005,Fighting,Atari,180000.0,50000.0,0.0,10000.0,240000.0
6854,Paws & Claws: Pet Resort,DS,2008,Simulation,THQ,220000.0,0.0,0.0,20000.0,240000.0
6857,Ms. Pac-Man: Maze Madness / Pac-Man World,GBA,2005,Puzzle,Namco Bandai Games,170000.0,60000.0,0.0,0.0,240000.0
6859,The Price is Right 2010 Edition,Wii,2009,Misc,Ubisoft,220000.0,0.0,0.0,20000.0,240000.0
6862,Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,190000.0,50000.0,0.0,10000.0,240000.0
6864,The Godfather (US & Others sales),X360,2006,Action,Electronic Arts,200000.0,20000.0,0.0,20000.0,240000.0
6867,Bakugan: Battle Brawlers,PS3,2009,Action,Activision,190000.0,30000.0,0.0,20000.0,240000.0
6869,Paperboy,N64,1999,Action,Midway Games,190000.0,50000.0,0.0,0.0,240000.0
6870,South Park: Chef's Luv Shack,N64,1999,Misc,Acclaim Entertainment,190000.0,50000.0,0.0,0.0,240000.0
6871,Midway's Greatest Arcade Hits Volume 1,N64,2000,Misc,Midway Games,190000.0,50000.0,0.0,0.0,240000.0
6872,Road Rash 64,N64,1999,Racing,THQ,190000.0,50000.0,0.0,0.0,240000.0
6873,Ready 2 Rumble Boxing: Round 2,N64,2000,Fighting,Midway Games,190000.0,50000.0,0.0,0.0,240000.0
6874,Army Men: Air Combat,N64,2000,Action,3DO,190000.0,50000.0,0.0,0.0,240000.0
6875,Rock Band Track Pack Volume 2,Wii,2008,Misc,MTV Games,210000.0,20000.0,0.0,20000.0,240000.0
6879,NCAA March Madness 2004,XB,2003,Sports,Electronic Arts,180000.0,50000.0,0.0,10000.0,240000.0
6881,Fantastic 4,GC,2005,Action,Activision,190000.0,50000.0,0.0,10000.0,240000.0
6883,Ghost Rider,PSP,2007,Action,Take-Two Interactive,220000.0,0.0,0.0,20000.0,240000.0
6884,Tony Hawk's American Sk8land,GBA,2005,Sports,Activision,170000.0,60000.0,0.0,0.0,240000.0
6885,Juiced 2: Hot Import Nights,DS,2007,Racing,THQ,220000.0,0.0,0.0,20000.0,240000.0
6886,Are You Smarter than a 5th Grader? Game Time,DS,2009,Puzzle,THQ,220000.0,0.0,0.0,20000.0,240000.0
6894,The Hobbit,XB,2003,Platform,Vivendi Games,180000.0,50000.0,0.0,10000.0,240000.0
6897,Divinity II: Ego Draconis,X360,2009,Role-Playing,DTP Entertainment,180000.0,40000.0,0.0,20000.0,240000.0
6900,X-Men: Destiny,X360,2011,Action,Activision,180000.0,50000.0,0.0,20000.0,240000.0
6901,Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,160000.0,60000.0,0.0,20000.0,240000.0
6903,4x4 EVO 2,XB,2001,Racing,Gathering of Developers,180000.0,50000.0,0.0,10000.0,240000.0
6907,Grand Theft Auto,GBA,2004,Action,Take-Two Interactive,170000.0,60000.0,0.0,0.0,240000.0
6908,Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory,170000.0,60000.0,0.0,0.0,240000.0
6909,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,190000.0,30000.0,0.0,20000.0,240000.0
6918,Shrek's Carnival Craze Party Games,DS,2008,Misc,Activision,220000.0,0.0,0.0,20000.0,240000.0
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,Bethesda Softworks,160000.0,60000.0,0.0,20000.0,240000.0
6929,Pictionary: Ultimate Edition,X360,2011,Misc,THQ,160000.0,50000.0,0.0,20000.0,240000.0
6934,G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts,170000.0,50000.0,0.0,20000.0,240000.0
6936,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,180000.0,50000.0,0.0,10000.0,240000.0
6937,Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure,170000.0,60000.0,0.0,0.0,240000.0
6944,Afro Samurai,X360,2009,Action,Atari,160000.0,50000.0,0.0,20000.0,240000.0
6947,NASCAR 2011: The Game,Wii,2011,Racing,Activision,220000.0,0.0,0.0,10000.0,240000.0
6952,DC Universe Online,PC,2011,Role-Playing,Sony Online Entertainment,160000.0,60000.0,0.0,20000.0,240000.0
6955,New Carnival Games,DS,2010,Misc,Take-Two Interactive,160000.0,50000.0,0.0,20000.0,230000.0
6956,Need For Speed: Undercover,DS,2008,Racing,Electronic Arts,180000.0,30000.0,0.0,20000.0,230000.0
6958,Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,220000.0,0.0,0.0,20000.0,230000.0
6961,Wizards of Waverly Place: Spellbound,DS,2010,Misc,Disney Interactive Studios,160000.0,60000.0,0.0,20000.0,230000.0
6969,Hot Wheels: Beat That!,DS,2007,Racing,Activision,220000.0,0.0,0.0,20000.0,230000.0
6972,NASCAR Thunder 2004,XB,2003,Racing,Electronic Arts,180000.0,50000.0,0.0,10000.0,230000.0
6973,Buffy the Vampire Slayer,XB,2002,Action,Electronic Arts,180000.0,50000.0,0.0,10000.0,230000.0
